STEP 0; UNIT Opportunity; POSITION [13,12]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 0; UNIT Perseverance; POSITION [12,12]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 1; UNIT Opportunity; POSITION [13,11]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 1; UNIT Perseverance; POSITION [12,11]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 2; UNIT Opportunity; POSITION [13,10]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 2; UNIT Perseverance; POSITION [13,10]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 3; UNIT Opportunity; POSITION [14,9]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 3; UNIT Perseverance; POSITION [12,11]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 4; UNIT Opportunity; POSITION [15,8]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 4; UNIT Perseverance; POSITION [12,10]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 5; UNIT Opportunity; POSITION [16,9]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 5; UNIT Perseverance; POSITION [11,11]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 6; UNIT Opportunity; POSITION [16,10]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 6; UNIT Perseverance; POSITION [10,10]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 7; UNIT Opportunity; POSITION [15,9]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 7; UNIT Perseverance; POSITION [9,9]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 8; UNIT Opportunity; POSITION [15,10]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 8; UNIT Perseverance; POSITION [8,10]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
