STEP 0; EVENT position; UNIT Opportunity; POSITION [13,11]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 0; EVENT position; UNIT roverlyDope; POSITION [21,21]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 1; EVENT position; UNIT Opportunity; POSITION [13,12]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 1; EVENT position; UNIT roverlyDope; POSITION [22,22]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 2; EVENT position; UNIT Opportunity; POSITION [12,12]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 2; EVENT position; UNIT roverlyDope; POSITION [23,23]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 3; EVENT position; UNIT Opportunity; POSITION [11,12]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 3; EVENT position; UNIT roverlyDope; POSITION [24,24]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 4; EVENT position; UNIT Opportunity; POSITION [11,13]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 4; EVENT position; UNIT roverlyDope; POSITION [25,25]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 5; EVENT position; UNIT Opportunity; POSITION [10,12]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 5; EVENT position; UNIT roverlyDope; POSITION [26,26]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 6; EVENT position; UNIT Opportunity; POSITION [9,11]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 6; EVENT position; UNIT roverlyDope; POSITION [27,27]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 7; EVENT position; UNIT Opportunity; POSITION [8,11]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
